"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-02-01","2.94219899839238","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-03-01","4.01213219127522","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-04-01","3.74988175434647","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-05-01","2.56741630939096","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-06-01","3.14514952828357","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-07-01","2.92957598350415","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-08-01","3.40535697377292","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-09-01","2.90847757014811","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-10-01","2.57934371741528","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-11-01","3.49282027844602","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-12-01","3.0781865812931","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-01-01","2.79949852553975","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-02-01","2.73828552573154","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-03-01","1.58254654887679","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-04-01","2.66938158833552","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-05-01","2.87423548812321","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-06-01","2.5202327920035","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-07-01","2.64838609155729","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-08-01","3.35921184165064","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-09-01","2.88820729145345","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-10-01","1.76398361515669","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-11-01","1.74098401514901","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2011-12-01","1.97354260139417","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-01-01","2.27766772404463","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-02-01","2.86150324932813","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-03-01","2.31020872296952","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-04-01","1.75520148918242","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-05-01","3.2864773223449","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-06-01","2.47446039251006","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-07-01","1.91296199303725","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-08-01","1.43994459014185","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-09-01","1.32330102201664","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-10-01","2.43029876717098","Annual % change","27-07-23"
